电影名称,导演,电影类型,国家,上映年份,评分,评论人数
天堂电影院,朱塞佩·托纳多雷,剧情/爱情,意大利 / 法国,1988,9.2,711608
狮子王,罗杰·阿勒斯,动画/歌舞/冒险,美国,1994,9.1,905465
辩护人,杨宇硕,剧情,韩国,2013,9.2,628018
饮食男女,李安,剧情/家庭,中国台湾 / 美国,1994,9.2,670861
搏击俱乐部,大卫·芬奇,剧情/动作/悬疑/惊悚,美国,1999,9.0,909350
本杰明·巴顿奇事,大卫·芬奇,剧情/爱情/奇幻,美国,2008,9.0,1048439
美丽心灵,朗·霍华德,剧情/传记,美国,2001,9.1,816314
穿条纹睡衣的男孩,马克·赫尔曼,剧情/战争,英国 / 美国,2008,9.2,608017
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,德国,2006,9.2,602570
情书,岩井俊二,剧情/爱情,日本,1995,8.9,1207355
两杆大烟枪,盖·里奇,剧情/喜剧/犯罪,英国,1998,9.1,637936
音乐之声,罗伯特·怀斯,剧情/爱情/歌舞/传记,美国,1965,9.1,644982
看不见的客人,奥里奥尔·保罗,剧情/悬疑/惊悚/犯罪,西班牙,2016,8.8,1363489
西西里的美丽传说,朱塞佩·托纳多雷,剧情/情色/战争,意大利 / 美国,2000,8.9,1040397
哈利·波特与死亡圣器(下),大卫·叶茨,奇幻/冒险,美国 / 英国,2011,9.0,899100
阿凡达,詹姆斯·卡梅隆,动作/科幻/冒险,美国,2009,8.8,1499378
拯救大兵瑞恩,史蒂文·斯皮尔伯格,剧情/战争,美国,1998,9.1,687918
功夫,周星驰,喜剧/动作/犯罪/奇幻,中国大陆 / 中国香港,2004,8.9,1238203
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,奇幻/冒险,英国 / 美国,2004,9.0,820110
小鞋子,马基德·马基迪,剧情/家庭/儿童,伊朗,1997,9.2,438809
飞越疯人院,米洛斯·福尔曼,剧情,美国,1975,9.1,577801
沉默的羔羊,乔纳森·戴米,剧情/惊悚/犯罪,美国,1991,8.9,957885
布达佩斯大饭店,韦斯·安德森,剧情/喜剧/冒险,美国 / 德国 / 英国,2014,8.9,1017666
蝴蝶效应,埃里克·布雷斯,剧情/科幻/悬疑/惊悚,美国 / 加拿大,2004,8.9,1005390
禁闭岛,马丁·斯科塞斯,剧情/悬疑/惊悚,美国,2010,8.9,1049936
致命魔术,克里斯托弗·诺兰,剧情/悬疑/惊悚,英国 / 美国,2006,8.9,916951
心灵捕手,格斯·范·桑特,剧情,美国,1997,9.0,772650
低俗小说,昆汀·塔伦蒂诺,剧情/喜剧/犯罪,美国,1994,8.9,900825
摩登时代,查理·卓别林,剧情/喜剧/爱情,美国,1936,9.3,325268
喜剧之王,周星驰,剧情/喜剧/爱情,中国香港,1999,8.8,1032064
海豚湾,路易·西霍尤斯,纪录片,美国,2009,9.3,371246
致命ID,詹姆斯·曼高德,剧情/悬疑/惊悚,美国,2003,8.9,890798
哈利·波特与密室,克里斯·哥伦布,奇幻/冒险,英国 / 美国,2002,8.9,846226
美国往事,赛尔乔·莱昂内,剧情/犯罪,美国 / 意大利,1984,9.1,444740
一一,杨德昌,剧情/爱情/家庭,中国台湾 / 日本,2000,9.1,446944
红辣椒,今敏,科幻/动画/悬疑/惊悚,日本,2006,9.1,521937
加勒比海盗,戈尔·维宾斯基,动作/奇幻/冒险,美国,2003,8.8,916535
七宗罪,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,1995,8.8,1000744
唐伯虎点秋香,李力持,喜剧/爱情/古装,中国香港,1993,8.7,1155819
狩猎,托马斯·温特伯格,剧情,丹麦 / 瑞典,2012,9.1,430614
7号房的礼物,李焕庆,剧情/喜剧/家庭,韩国,2013,8.9,592060
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2012,8.9,771318
甜蜜蜜,陈可辛,剧情/爱情,中国香港,1996,8.9,619893
被嫌弃的松子的一生,中岛哲也,剧情/歌舞,日本,2006,8.8,741909
爱在黎明破晓前,理查德·林克莱特,剧情/爱情,美国 / 奥地利 / 瑞士,1995,8.8,744011
超能陆战队,唐·霍尔,喜剧/动作/科幻/动画/冒险,美国,2014,8.8,1084264
第六感,M·奈特·沙马兰,剧情/悬疑/惊悚,美国,1999,8.9,599178
寄生虫,奉俊昊,剧情,韩国,2019,8.8,1464327
重庆森林,王家卫,剧情/爱情,中国香港,1994,8.8,870937
入殓师,泷田洋二郎,剧情,日本,2008,8.9,711535
爱在日落黄昏时,理查德·林克莱特,剧情/爱情,美国 / 法国,2004,8.9,610171
请以你的名字呼唤我,卢卡·瓜达尼诺,剧情/爱情/同性,意大利 / 法国 / 巴西 / 美国,2017,8.8,778366
幽灵公主,宫崎骏,动画/奇幻/冒险,日本,1997,8.9,561818
剪刀手爱德华,蒂姆·波顿,剧情/爱情/奇幻,美国,1990,8.7,1082827
断背山,李安,剧情/爱情/同性/家庭,美国 / 加拿大,2005,8.8,745801
勇敢的心,梅尔·吉布森,剧情/动作/传记/历史/战争,美国,1995,8.9,583488
菊次郎的夏天,北野武,剧情/喜剧,日本,1999,8.9,639329
借东西的小人阿莉埃蒂,米林宏昌,动画/奇幻/冒险,日本,2010,8.9,593960
未麻的部屋,今敏,剧情/动画/悬疑/惊悚/犯罪,日本,1997,9.1,387300
哈利·波特与火焰杯,迈克·内威尔,悬疑/奇幻/冒险,英国 / 美国,2005,8.8,738269
消失的爱人,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,2014,8.7,1021675
无人知晓,是枝裕和,剧情,日本,2004,9.1,350697
时空恋旅人,理查德·柯蒂斯,喜剧/爱情/奇幻,英国 / 美国,2013,8.8,735596
倩女幽魂,程小东,爱情/奇幻/武侠/古装,中国香港,1987,8.8,780936
完美的世界,克林特·伊斯特伍德,剧情/犯罪,美国,1993,9.1,340291
茶馆,谢添,剧情/历史,中国大陆,1982,9.6,179446
阳光灿烂的日子,姜文,剧情/爱情,中国大陆 / 中国香港,1994,8.8,656200
小森林 夏秋篇,森淳一,剧情,日本,2014,9.0,451168
天使爱美丽,让-皮埃尔·热内,剧情/喜剧/爱情,法国 / 德国,2001,8.7,990192
侧耳倾听,近藤喜文,剧情/爱情/动画,日本,1995,8.9,496098
驯龙高手,迪恩·德布洛斯,动画/奇幻/冒险,美国,2010,8.8,807070
头脑特工队,彼特·道格特,喜剧/动画/冒险,美国,2015,8.8,722618
新世界,朴勋政,剧情/犯罪,韩国,2013,8.9,488237
教父3,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1990,9.0,404801
怪兽电力公司,彼特·道格特,喜剧/动画/儿童/奇幻/冒险,美国,2001,8.8,725512
傲慢与偏见,乔·赖特,剧情/爱情,法国 / 英国 / 美国,2005,8.7,864606
一个叫欧维的男人决定去死,汉内斯·赫尔姆,剧情,瑞典,2015,8.9,526044
幸福终点站,史蒂文·斯皮尔伯格,剧情/喜剧/爱情,美国,2004,8.8,609251
玩具总动员3,李·昂克里奇,喜剧/动画/奇幻/冒险,美国,2010,8.9,557283
色，戒,李安,剧情/爱情/情色,中国台湾 / 中国大陆 / 美国 / 中国香港,2007,8.7,893229
被解救的姜戈,昆汀·塔伦蒂诺,剧情/动作/西部/冒险,美国,2012,8.8,652667
釜山行,延尚昊,动作/惊悚/灾难,韩国,2016,8.6,1279073
神偷奶爸,皮埃尔·柯芬,喜剧/动画/冒险,美国 / 法国,2010,8.7,1001837
萤火之森,大森贵弘,剧情/爱情/动画/奇幻,日本,2011,8.8,578153
九品芝麻官,王晶,剧情/喜剧/古装,中国香港 / 中国大陆,1994,8.7,741308
哪吒闹海,王树忱,动画/奇幻/冒险,中国大陆,1979,9.2,279986
喜宴,李安,剧情/喜剧/爱情/同性/家庭,中国台湾 / 美国,1993,9.0,397962
玛丽和马克思,亚当·艾略特,剧情/喜剧/动画,澳大利亚 / 美国,2009,9.0,439958
模仿游戏,莫滕·泰杜姆,剧情/同性/传记/战争,英国 / 美国,2014,8.8,689763
头号玩家,史蒂文·斯皮尔伯格,动作/科幻/冒险,美国,2018,8.6,1444039
大鱼,蒂姆·波顿,剧情/爱情/奇幻/冒险,美国,2003,8.8,599732
七武士,黑泽明,剧情/动作/冒险,日本,1954,9.3,215606
射雕英雄传之东成西就,刘镇伟,喜剧/奇幻/武侠/古装,中国香港,1993,8.7,680751
惊魂记,阿尔弗雷德·希区柯克,悬疑/惊悚/恐怖,美国,1960,9.0,328204
我是山姆,杰茜·尼尔森,剧情/家庭,美国,2001,9.0,358890
阳光姐妹淘,姜炯哲,剧情/喜剧,韩国,2011,8.8,614282
恐怖直播,金秉祐,剧情/悬疑/犯罪,韩国,2013,8.7,695209
你的名字。,新海诚,剧情/爱情/动画,日本,2016,8.5,1513518
三块广告牌,马丁·麦克唐纳,剧情/犯罪,英国 / 美国,2017,8.7,874574
电锯惊魂,温子仁,悬疑/惊悚/恐怖,美国,2004,8.7,576105
小丑,托德·菲利普斯,剧情/惊悚/犯罪,美国 / 加拿大,2019,8.7,1079284
疯狂原始人,柯克·德·米科,喜剧/动画/冒险,美国,2013,8.7,883471
背靠背，脸对脸,黄建新,剧情,中国大陆 / 中国香港,1994,9.5,158288
谍影重重3,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国 / 法国 / 英国,2007,8.8,445244
上帝之城,费尔南多·梅里尔斯,剧情/犯罪,巴西 / 法国,2002,9.0,318668
绿里奇迹,弗兰克·德拉邦特,剧情/悬疑/犯罪/奇幻,美国,1999,8.9,362448
爱在午夜降临前,理查德·林克莱特,剧情/爱情,美国 / 希腊,2013,8.9,440442
海街日记,是枝裕和,剧情/家庭,日本,2015,8.8,488002
风之谷,宫崎骏,动画/奇幻/冒险,日本,1984,8.9,376097
无间道2,刘伟强,剧情/惊悚/犯罪,中国香港,2003,8.8,527094
疯狂的石头,宁浩,喜剧/犯罪,中国大陆 / 中国香港,2006,8.6,878860
2001太空漫游,斯坦利·库布里克,科幻/惊悚/冒险,英国 / 美国,1968,8.9,365212
纵横四海,吴宇森,剧情/喜剧/动作/犯罪,中国香港,1991,8.8,453120
雨中曲,斯坦利·多南,喜剧/爱情/歌舞,美国,1952,9.1,248447
卢旺达饭店,特瑞·乔治,剧情/传记/历史/战争,英国 / 南非 / 意大利 / 美国,2004,8.9,350948
记忆碎片,克里斯托弗·诺兰,剧情/悬疑/惊悚/犯罪,美国,2000,8.7,639376
小偷家族,是枝裕和,剧情/家庭/犯罪,日本,2018,8.7,860249
无敌破坏王,瑞奇·摩尔,喜剧/动画/奇幻/冒险,美国,2012,8.7,579840
岁月神偷,罗启锐,剧情/家庭,中国香港 / 中国大陆,2010,8.7,595934
冰川时代,卡洛斯·沙尔丹哈,喜剧/动画/冒险,美国,2002,8.6,654219
牯岭街少年杀人事件,杨德昌,剧情/犯罪,中国台湾,1991,8.9,337008
荒蛮故事,达米安·斯兹弗隆,剧情/喜剧/犯罪,阿根廷 / 西班牙,2014,8.8,472184
忠犬八公物语,神山征二郎,剧情,日本,1987,9.2,208230
恐怖游轮,克里斯托弗·史密斯,剧情/悬疑/惊悚,英国 / 澳大利亚,2009,8.5,933335
